"","model","slope_mean","2.5%","97.5%"
"1","slope_mt_may",1.24519210845049,0.648780253231342,1.84880531659595
"2","slope_mt_jul",1.60982028125128,1.36931773429309,1.84535266978669
"3","slope_mt_Sep",1.76897045149681,1.43271567305339,2.1075260533315
"4","slope_sp_may",1.31416266642564,1.08185758069671,1.53940062889299
"5","slope_sp_jul",1.67744807129808,1.57788479901185,1.78271635036861
"6","slope_sp_Sep",1.98953380350213,1.85326516137876,2.13057750494277
"7","slope_gp_may",1.39583846450645,1.10376338970631,1.68443235857548
"8","slope_gp_jul",1.68868810674205,1.56039131559904,1.81341502361315
"9","slope_gp_Sep",2.33999167989995,2.18667434774225,2.49094377252119
"10","slope_gp2_may",1.35809097555835,1.00765714641946,1.71570675697877
"11","slope_gp2_jul",1.79560949677142,1.62166982557324,1.96690562003231
"12","slope_gp2_Sep",2.21376869553504,1.99721691376205,2.42826549831599
